,Suburb,Address,Rooms,Type,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,Regionname,Propertycount,Pridicted_Price
38,Airport West,3/35 Walters Av,3,t,SP,Nelson,30/07/2016,13.5,3042.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,3464.0,693341.06
39,Albert Park,114 Victoria Av,3,h,S,Cayzer,8/10/2016,3.3,3206.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,3280.0,2850639.2
40,Albert Park,3 Faussett St,2,u,PI,Marshall,27/06/2016,3.3,3206.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,3280.0,1561797.0
41,Alphington,1/9 Roemer Cr,2,u,PI,Miles,7/05/2016,6.4,3078.0,3.0,2.0,2.0,556.0,130.0,Northern Metropolitan,2211.0,936191.8
42,Alphington,2/21 Fulham Rd,3,t,SP,Holland,8/10/2016,6.4,3078.0,3.0,2.0,2.0,556.0,130.0,Northern Metropolitan,2211.0,1091052.5
43,Alphington,69 Lucerne Cr,3,h,S,Nelson,13/08/2016,6.4,3078.0,3.0,2.0,2.0,556.0,130.0,Northern Metropolitan,2211.0,1524414.9
44,Alphington,1/17 Rex Av,2,u,PI,Nelson,17/09/2016,6.4,3078.0,3.0,2.0,2.0,556.0,130.0,Northern Metropolitan,2211.0,936191.8
45,Alphington,17 Lowther St,3,h,S,Collins,25/02/2017,6.4,3078.0,3.0,2.0,2.0,556.0,130.0,Northern Metropolitan,2211.0,1524414.9
46,Alphington,13a Fulham Rd,3,h,S,Jellis,26/07/2016,6.4,3078.0,3.0,2.0,2.0,556.0,130.0,Northern Metropolitan,2211.0,1524414.9
47,Alphington,32/23 Coate Av,3,h,VB,Thomas,27/06/2016,6.4,3078.0,3.0,2.0,2.0,556.0,130.0,Northern Metropolitan,2211.0,1417053.4
48,Alphington,6/11 Broomfield Av,2,u,S,Jellis,27/11/2016,6.4,3078.0,3.0,2.0,2.0,556.0,130.0,Northern Metropolitan,2211.0,1000005.3
49,Altona,1/4 Deavey Ct,2,u,VB,hockingstuart,8/10/2016,13.8,3018.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5301.0,651042.5
50,Altona,54 Seves St,3,h,S,Williams,11/03/2017,13.8,3018.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5301.0,903847.5
51,Altona,2/6 Galvin St,3,t,SP,Williams,12/11/2016,13.8,3018.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5301.0,809847.1
52,Altona,10 Wilga Av,3,t,S,hockingstuart,13/08/2016,13.8,3018.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5301.0,853931.94
53,Altona,5a Emu Av,4,h,S,Barlow,19/11/2016,13.8,3018.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5301.0,982037.06
54,Altona,12 Ransom Av,3,h,S,Barlow,25/02/2017,13.8,3018.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5301.0,903847.5
55,Altona North,103 Sixth Av,4,h,S,hockingstuart,3/09/2016,11.1,3025.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5132.0,837171.56
56,Altona North,80A Hansen St,4,h,S,Sweeney,4/03/2017,11.1,3025.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5132.0,837171.56
57,Altona North,58a Clematis Av,4,t,S,hockingstuart,7/05/2016,11.1,3025.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5132.0,663837.2
58,Altona North,1/77 Hansen St,3,u,S,hockingstuart,7/05/2016,11.1,3025.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5132.0,661432.44
59,Altona North,21 Joel Av,3,h,SP,Village,7/05/2016,11.1,3025.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5132.0,790879.75
60,Altona North,2/5 Stapley Cr,4,h,VB,hockingstuart,7/05/2016,11.1,3025.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5132.0,751282.6
61,Altona North,2/9 First Av,2,h,SP,RT,7/11/2016,11.1,3025.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5132.0,798530.25
62,Altona North,1/28 Irwin Av,3,u,VB,hockingstuart,7/11/2016,11.1,3025.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5132.0,614701.9
63,Altona North,3/49 Misten Av,3,h,SP,hockingstuart,7/11/2016,11.1,3025.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5132.0,790879.75
64,Altona North,9 Fourth Av,3,h,S,Barlow,8/10/2016,11.1,3025.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5132.0,813136.4
65,Altona North,11a Edward Av,3,t,S,Greg,10/09/2016,11.1,3025.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5132.0,638819.8
66,Altona North,1B Paproth Gr,2,h,SP,RT,10/12/2016,11.1,3025.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5132.0,798530.25
67,Altona North,7 Seventh Av,3,h,SP,Greg,10/12/2016,11.1,3025.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5132.0,790879.75
68,Altona North,56a First Av,3,h,SP,RT,12/11/2016,11.1,3025.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5132.0,790879.75
69,Altona North,85a First Av,3,t,VB,Greg,14/05/2016,11.1,3025.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5132.0,591237.0
70,Altona North,22 Joel Av,3,h,SP,Hunter,14/05/2016,11.1,3025.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5132.0,790879.75
71,Altona North,11 Mahon Av,3,h,S,Greg,14/05/2016,11.1,3025.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5132.0,813136.4
72,Altona North,2/10 Cleghorn Av,3,t,SP,Gunn&Co,15/10/2016,11.1,3025.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5132.0,643741.06
73,Altona North,2 Edward Av,4,h,S,hockingstuart,15/10/2016,11.1,3025.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5132.0,837171.56
74,Altona North,128 Second Av,3,h,S,Hunter,15/10/2016,11.1,3025.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5132.0,813136.4
75,Altona North,5/24 Valerian Av,3,h,PI,Village,15/10/2016,11.1,3025.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5132.0,747022.0
76,Altona North,2/31 Cooper Av,2,h,SA,hockingstuart,16/07/2016,11.1,3025.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5132.0,742758.25
77,Altona North,9 Begonia Av,5,h,S,Sweeney,17/09/2016,11.1,3025.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5132.0,852637.0
78,Altona North,1/36 Amaranth Av,3,t,PI,RT,18/06/2016,11.1,3025.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5132.0,588609.8
79,Altona North,3/36 Amaranth Av,2,h,PI,RT,18/06/2016,11.1,3025.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5132.0,754672.5
80,Altona North,61 Cooper Av,3,h,S,Greg,18/06/2016,11.1,3025.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5132.0,813136.4
81,Altona North,10 Freemans St,3,h,VB,Greg,18/06/2016,11.1,3025.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5132.0,739632.56
82,Altona North,150A McIntosh Rd,2,t,SP,Williams,19/11/2016,11.1,3025.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5132.0,611636.56
83,Altona North,19 Cleghorn Av,3,h,S,Buxton,22/08/2016,11.1,3025.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5132.0,813136.4
84,Altona North,1/21 Freemans Rd,3,h,SP,RT,23/04/2016,11.1,3025.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5132.0,790879.75
85,Altona North,81 Fifth Av,4,h,S,hockingstuart,26/07/2016,11.1,3025.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5132.0,837171.56
86,Altona North,23 Huxtable Av,3,h,S,Sweeney,26/07/2016,11.1,3025.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5132.0,813136.4
87,Altona North,61a First Av,3,h,S,RT,27/06/2016,11.1,3025.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5132.0,813136.4
88,Altona North,1/33 Fifth Av,3,h,S,RT,27/11/2016,11.1,3025.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5132.0,813136.4
89,Altona North,56a MacDonald Av,3,t,PI,hockingstuart,28/08/2016,11.1,3025.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5132.0,588609.8
90,Altona North,126 Sixth Av,3,h,SP,RT,30/07/2016,11.1,3025.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,5132.0,790879.75
91,Armadale,28 Lambeth Av,3,h,S,Marshall,3/12/2016,6.3,3143.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,4836.0,2461432.2
92,Armadale,1/7 Railway Av,2,u,SP,hockingstuart,3/12/2016,6.3,3143.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,4836.0,1346026.6
93,Armadale,65 Barkly Av,3,h,S,Marshall,4/03/2017,6.3,3143.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,4836.0,2461432.2
94,Armadale,526 Orrong Rd,4,h,VB,Jellis,4/06/2016,6.3,3143.0,4.0,2.0,2.0,1581.0,130.0,Southern Metropolitan,4836.0,3133989.8
95,Armadale,37 Barkly Av,2,h,S,Jellis,6/08/2016,6.3,3143.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,4836.0,2314488.0
96,Armadale,48 Barkly Av,3,h,S,Jellis,23/04/2016,6.3,3143.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,4836.0,2461432.2
97,Armadale,7 Lambeth Av,4,h,S,Marshall,27/06/2016,6.3,3143.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,4836.0,2612160.0
98,Armadale,10/507 Dandenong Rd,2,u,VB,Jellis,27/11/2016,6.3,3143.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,4836.0,1362653.1
99,Armadale,8/507 Dandenong Rd,2,u,S,Jellis,28/08/2016,6.3,3143.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,4836.0,1459024.1
100,Armadale,37 Lambeth Av,3,h,S,Marshall,28/08/2016,6.3,3143.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,4836.0,2461432.2
101,Ascot Vale,42 Archer Av,3,h,S,Nelson,4/02/2016,5.9,3032.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,6567.0,1293515.9
102,Ascot Vale,25 Station Av,2,h,S,Brad,4/06/2016,5.9,3032.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,6567.0,1238469.5
103,Ascot Vale,7a Station Av,2,h,PI,Jellis,8/10/2016,5.9,3032.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,6567.0,1099294.8
104,Ascot Vale,5/39 Sandown Rd,2,t,PI,Alexkarbon,10/09/2016,5.9,3032.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,6567.0,685578.9
105,Ascot Vale,17 Aspect Av,4,h,PI,Nelson,11/02/2017,5.9,3032.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,6567.0,1305578.4
106,Ascot Vale,6 Leonard Cr,3,h,SP,Rendina,12/11/2016,5.9,3032.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,6567.0,1203661.8
107,Ascot Vale,32 Myross Av,3,h,S,Nelson,13/08/2016,5.9,3032.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,6567.0,1293515.9
108,Ascot Vale,1 Nairn Av,2,h,PI,Jellis,14/05/2016,5.9,3032.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,6567.0,1099294.8
109,Ascot Vale,55 Hunt Cr,4,h,S,Brad,15/10/2016,5.9,3032.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,6567.0,1451200.4
110,Ascot Vale,4 Morphett Av,4,h,SP,Brad,16/07/2016,5.9,3032.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,6567.0,1353457.4
111,Ascot Vale,3 Aspect Av,4,h,S,Nelson,22/08/2016,5.9,3032.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,6567.0,1451200.4
112,Ascot Vale,6/37 Myrnong Cr,1,u,S,Woodards,25/02/2017,5.9,3032.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,6567.0,670413.2
113,Ascot Vale,19 Dunlop Av,3,h,PI,Nelson,27/06/2016,5.9,3032.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,6567.0,1160931.5
114,Ascot Vale,20 Charles St,3,h,S,Nelson,27/11/2016,5.9,3032.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,6567.0,1293515.9
115,Ascot Vale,1 Myross Av,4,h,S,Brad,28/08/2016,5.9,3032.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,6567.0,1451200.4
116,Ascot Vale,4/33 Sandown Rd,3,t,SP,Brad,28/08/2016,5.9,3032.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,6567.0,835328.56
117,Ashburton,1 Wilgra Av,2,h,S,Marshall,3/09/2016,11.0,3147.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,3052.0,1498493.5
118,Ashburton,50 Warner Av,4,h,S,Jellis,4/03/2017,11.0,3147.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,3052.0,1679646.5
119,Ashburton,2 Benghazi Av,3,h,S,Jellis,4/06/2016,11.0,3147.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,3052.0,1660937.0
120,Ashburton,36 Morotai Av,2,h,S,Buxton,4/06/2016,11.0,3147.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,3052.0,1498493.5
121,Ashburton,60 Munro Av,5,h,S,Fletchers,7/05/2016,11.0,3147.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,3052.0,1680375.2
122,Ashburton,1/6 Crete Av,3,h,S,Tim,8/10/2016,11.0,3147.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,3052.0,1660937.0
123,Ashburton,69a Munro Av,4,h,S,Marshall,8/10/2016,11.0,3147.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,3052.0,1679646.5
124,Ashburton,3a Mernda Av,4,h,S,Fletchers,10/09/2016,11.0,3147.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,3052.0,1679646.5
125,Ashburton,1/24 Crete Av,3,t,S,Jellis,12/06/2016,11.0,3147.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,3052.0,1332169.2
126,Ashburton,18 Alamein Av,3,h,S,Jellis,12/11/2016,11.0,3147.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,3052.0,1660937.0
127,Ashburton,3 Lae Ct,3,h,S,Jellis,12/11/2016,11.0,3147.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,3052.0,1660937.0
128,Ashburton,36 Alamein Av,2,h,S,Jellis,14/05/2016,11.0,3147.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,3052.0,1498493.5
129,Ashburton,34 Munro Av,3,h,S,Noel,16/07/2016,11.0,3147.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,3052.0,1660937.0
130,Ashburton,2a Lancaster St,3,h,VB,Fletchers,17/09/2016,11.0,3147.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,3052.0,1547070.9
131,Ashburton,1/1 Ramu Gr,3,t,VB,Jellis,17/09/2016,11.0,3147.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,3052.0,1256308.2
132,Ashburton,50a Baker Pde,4,h,SP,hockingstuart,18/06/2016,11.0,3147.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,3052.0,1637050.4
133,Ashburton,34 Morotai Av,3,h,S,Buxton,19/11/2016,11.0,3147.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,3052.0,1660937.0
134,Ashburton,26 Tarakan Av,3,h,S,Tim,22/05/2016,11.0,3147.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,3052.0,1660937.0
135,Ashburton,56 Gloucester Rd,4,h,VB,Jellis,22/08/2016,11.0,3147.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,3052.0,1548142.1
136,Ashburton,3/4 Annetta Av,3,h,S,Jellis,23/04/2016,11.0,3147.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,3052.0,1660937.0
137,Ashburton,20 Alamein Av,3,h,S,Tim,25/02/2017,11.0,3147.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,3052.0,1660937.0
138,Ashburton,55 Alamein Av,4,h,PI,Noel,25/02/2017,11.0,3147.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,3052.0,1521159.2
139,Ashburton,16 Dunscombe Av,3,h,S,Jellis,25/02/2017,11.0,3147.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,3052.0,1660937.0
140,Ashburton,15 Lancaster St,4,h,S,Fletchers,30/07/2016,11.0,3147.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,3052.0,1679646.5
141,Ashwood,35 Douglas St,3,h,S,Fletchers,10/09/2016,12.2,3147.0,3.0,1.0,1.0,792.0,792.0,Southern Metropolitan,2894.0,1367776.2
142,Ashwood,2/25 May Park Av,2,u,S,Buxton,10/12/2016,12.2,3147.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,2894.0,894201.9
143,Ashwood,50 Cassinia Av,3,h,S,Fletchers,12/06/2016,12.2,3147.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,2894.0,1212187.9
144,Ashwood,12 Delta Av,3,h,PI,Marshall,12/11/2016,12.2,3147.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,2894.0,1077676.8
145,Ashwood,2/21 Electra Av,2,t,S,Buxton,16/04/2016,12.2,3147.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,2894.0,927372.1
146,Ashwood,44 Power Av,3,h,PI,Woodards,17/09/2016,12.2,3147.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,2894.0,1077676.8
147,Ashwood,13 Edmonds Av,2,h,S,Jellis,18/03/2017,12.2,3147.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,2894.0,1168516.2
148,Ashwood,7 Jingella Av,3,h,VB,Jellis,18/03/2017,12.2,3147.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,2894.0,1105582.6
149,Ashwood,2/11 Salisbury Rd,4,t,PI,AIME,18/03/2017,12.2,3147.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,2894.0,939527.8
150,Ashwood,15b Rocklands Rd,4,t,S,Buxton,18/06/2016,12.2,3147.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,2894.0,1067965.0
151,Ashwood,31a Shaw St,3,t,PI,Fletchers,23/04/2016,12.2,3147.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,2894.0,890726.06
152,Ashwood,1/27 Electra Av,2,u,S,Buxton,24/09/2016,12.2,3147.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,2894.0,894201.9
153,Ashwood,14 Ashwood Dr,3,h,S,Jellis,25/02/2017,12.2,3147.0,3.0,1.0,1.0,760.0,120.0,Southern Metropolitan,2894.0,1292076.9
154,Ashwood,44 Power Av,3,h,VB,Tim,25/02/2017,12.2,3147.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,2894.0,1105582.6
155,Ashwood,6a Sylvan Cr,4,t,S,Buxton,25/02/2017,12.2,3147.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,2894.0,1067965.0
156,Ashwood,2/2 Heather Av,3,t,S,Tim,27/06/2016,12.2,3147.0,3.0,2.0,2.0,556.0,130.0,Southern Metropolitan,2894.0,1000870.9
157,Avondale Heights,13 MacEy Av,4,h,S,Jellis,3/09/2016,10.5,3034.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,4502.0,831936.3
158,Avondale Heights,16 Arcade Wy,3,h,S,Nelson,6/08/2016,10.5,3034.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,4502.0,823528.7
159,Avondale Heights,9 Arcade Wy,3,h,SP,Moonee,8/10/2016,10.5,3034.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,4502.0,796150.25
160,Avondale Heights,43 Riverside Av,3,h,S,Brad,8/10/2016,10.5,3034.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,4502.0,823528.7
161,Avondale Heights,35 Templewood Cr,4,h,S,Nelson,8/10/2016,10.5,3034.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,4502.0,831936.3
162,Avondale Heights,40 Templewood Cr,4,h,S,Nelson,10/12/2016,10.5,3034.0,3.0,2.0,2.0,556.0,130.0,Western Metropolitan,4502.0,831936.3
