,Unnamed: 0,Suburb,Address,Rooms,Type,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
27,84,Airport West,2/112 Parer Rd,2,u,SP,Nelson,15/10/2016,13.5,3042.0,,,,,,,,,,Western Metropolitan,3464.0
28,92,Airport West,7 McNamara Av,3,h,S,Barry,17/09/2016,13.5,3042.0,,,,,,,,,,Western Metropolitan,3464.0
29,96,Airport West,1/41 Hillside Gr,2,t,VB,Nelson,18/06/2016,13.5,3042.0,,,,,,,,,,Western Metropolitan,3464.0
30,100,Airport West,7/42 York St,3,u,S,Brad,22/05/2016,13.5,3042.0,,,,,,,,,,Western Metropolitan,3464.0
31,107,Airport West,4/40 McNamara Av,2,u,PI,Barry,26/07/2016,13.5,3042.0,,,,,,,,,,Western Metropolitan,3464.0
32,108,Airport West,5/93 McNamara Av,2,t,SP,Frank,26/07/2016,13.5,3042.0,,,,,,,,,,Western Metropolitan,3464.0
33,109,Airport West,2/137 McNamara Av,3,h,S,Ray,27/06/2016,13.5,3042.0,,,,,,,,,,Western Metropolitan,3464.0
34,110,Airport West,1/46 Bowes Av,3,t,S,Barry,27/11/2016,13.5,3042.0,,,,,,,,,,Western Metropolitan,3464.0
35,111,Airport West,1/34 Elstone Av,3,u,S,McDonald,27/11/2016,13.5,3042.0,,,,,,,,,,Western Metropolitan,3464.0
36,114,Airport West,22a Walters Av,3,u,S,Nelson,28/08/2016,13.5,3042.0,,,,,,,,,,Western Metropolitan,3464.0
37,115,Airport West,1/145 Parer Rd,3,u,PI,Nelson,30/07/2016,13.5,3042.0,,,,,,,,,,Western Metropolitan,3464.0
38,116,Airport West,3/35 Walters Av,3,t,SP,Nelson,30/07/2016,13.5,3042.0,,,,,,,,,,Western Metropolitan,3464.0
39,127,Albert Park,114 Victoria Av,3,h,S,Cayzer,8/10/2016,3.3,3206.0,,,,,,,,,,Southern Metropolitan,3280.0
40,154,Albert Park,3 Faussett St,2,u,PI,Marshall,27/06/2016,3.3,3206.0,,,,,,,,,,Southern Metropolitan,3280.0
41,164,Alphington,1/9 Roemer Cr,2,u,PI,Miles,7/05/2016,6.4,3078.0,,,,,,,,,,Northern Metropolitan,2211.0
42,165,Alphington,2/21 Fulham Rd,3,t,SP,Holland,8/10/2016,6.4,3078.0,,,,,,,,,,Northern Metropolitan,2211.0
43,171,Alphington,69 Lucerne Cr,3,h,S,Nelson,13/08/2016,6.4,3078.0,,,,,,,,,,Northern Metropolitan,2211.0
44,174,Alphington,1/17 Rex Av,2,u,PI,Nelson,17/09/2016,6.4,3078.0,,,,,,,,,,Northern Metropolitan,2211.0
45,182,Alphington,17 Lowther St,3,h,S,Collins,25/02/2017,6.4,3078.0,,,,,,,,-37.7796,145.0285,Northern Metropolitan,2211.0
46,183,Alphington,13a Fulham Rd,3,h,S,Jellis,26/07/2016,6.4,3078.0,,,,,,,,,,Northern Metropolitan,2211.0
47,184,Alphington,32/23 Coate Av,3,h,VB,Thomas,27/06/2016,6.4,3078.0,,,,,,,,,,Northern Metropolitan,2211.0
48,186,Alphington,6/11 Broomfield Av,2,u,S,Jellis,27/11/2016,6.4,3078.0,,,,,,,,,,Northern Metropolitan,2211.0
49,200,Altona,1/4 Deavey Ct,2,u,VB,hockingstuart,8/10/2016,13.8,3018.0,,,,,,,,,,Western Metropolitan,5301.0
50,212,Altona,54 Seves St,3,h,S,Williams,11/03/2017,13.8,3018.0,,,,,,,,,,Western Metropolitan,5301.0
51,214,Altona,2/6 Galvin St,3,t,SP,Williams,12/11/2016,13.8,3018.0,,,,,,,,,,Western Metropolitan,5301.0
52,216,Altona,10 Wilga Av,3,t,S,hockingstuart,13/08/2016,13.8,3018.0,,,,,,,,,,Western Metropolitan,5301.0
53,226,Altona,5a Emu Av,4,h,S,Barlow,19/11/2016,13.8,3018.0,,,,,,,,,,Western Metropolitan,5301.0
54,232,Altona,12 Ransom Av,3,h,S,Barlow,25/02/2017,13.8,3018.0,,,,,,,,,,Western Metropolitan,5301.0
55,243,Altona North,103 Sixth Av,4,h,S,hockingstuart,3/09/2016,11.1,3025.0,,,,,,,,,,Western Metropolitan,5132.0
56,244,Altona North,80A Hansen St,4,h,S,Sweeney,4/03/2017,11.1,3025.0,,,,,,,,,,Western Metropolitan,5132.0
57,251,Altona North,58a Clematis Av,4,t,S,hockingstuart,7/05/2016,11.1,3025.0,,,,,,,,,,Western Metropolitan,5132.0
58,252,Altona North,1/77 Hansen St,3,u,S,hockingstuart,7/05/2016,11.1,3025.0,,,,,,,,,,Western Metropolitan,5132.0
59,253,Altona North,21 Joel Av,3,h,SP,Village,7/05/2016,11.1,3025.0,,,,,,,,,,Western Metropolitan,5132.0
60,255,Altona North,2/5 Stapley Cr,4,h,VB,hockingstuart,7/05/2016,11.1,3025.0,,,,,,,,,,Western Metropolitan,5132.0
61,257,Altona North,2/9 First Av,2,h,SP,RT,7/11/2016,11.1,3025.0,,,,,,,,,,Western Metropolitan,5132.0
62,258,Altona North,1/28 Irwin Av,3,u,VB,hockingstuart,7/11/2016,11.1,3025.0,,,,,,,,,,Western Metropolitan,5132.0
63,259,Altona North,3/49 Misten Av,3,h,SP,hockingstuart,7/11/2016,11.1,3025.0,,,,,,,,,,Western Metropolitan,5132.0
64,261,Altona North,9 Fourth Av,3,h,S,Barlow,8/10/2016,11.1,3025.0,,,,,,,,,,Western Metropolitan,5132.0
65,262,Altona North,11a Edward Av,3,t,S,Greg,10/09/2016,11.1,3025.0,,,,,,,,,,Western Metropolitan,5132.0
66,264,Altona North,1B Paproth Gr,2,h,SP,RT,10/12/2016,11.1,3025.0,,,,,,,,,,Western Metropolitan,5132.0
67,265,Altona North,7 Seventh Av,3,h,SP,Greg,10/12/2016,11.1,3025.0,,,,,,,,,,Western Metropolitan,5132.0
68,268,Altona North,56a First Av,3,h,SP,RT,12/11/2016,11.1,3025.0,,,,,,,,,,Western Metropolitan,5132.0
69,269,Altona North,85a First Av,3,t,VB,Greg,14/05/2016,11.1,3025.0,,,,,,,,,,Western Metropolitan,5132.0
70,270,Altona North,22 Joel Av,3,h,SP,Hunter,14/05/2016,11.1,3025.0,,,,,,,,,,Western Metropolitan,5132.0
71,271,Altona North,11 Mahon Av,3,h,S,Greg,14/05/2016,11.1,3025.0,,,,,,,,,,Western Metropolitan,5132.0
72,274,Altona North,2/10 Cleghorn Av,3,t,SP,Gunn&Co,15/10/2016,11.1,3025.0,,,,,,,,,,Western Metropolitan,5132.0
73,275,Altona North,2 Edward Av,4,h,S,hockingstuart,15/10/2016,11.1,3025.0,,,,,,,,,,Western Metropolitan,5132.0
74,277,Altona North,128 Second Av,3,h,S,Hunter,15/10/2016,11.1,3025.0,,,,,,,,,,Western Metropolitan,5132.0
75,278,Altona North,5/24 Valerian Av,3,h,PI,Village,15/10/2016,11.1,3025.0,,,,,,,,,,Western Metropolitan,5132.0
76,279,Altona North,2/31 Cooper Av,2,h,SA,hockingstuart,16/07/2016,11.1,3025.0,,,,,,,,,,Western Metropolitan,5132.0
77,280,Altona North,9 Begonia Av,5,h,S,Sweeney,17/09/2016,11.1,3025.0,,,,,,,,,,Western Metropolitan,5132.0
78,281,Altona North,1/36 Amaranth Av,3,t,PI,RT,18/06/2016,11.1,3025.0,,,,,,,,,,Western Metropolitan,5132.0
79,282,Altona North,3/36 Amaranth Av,2,h,PI,RT,18/06/2016,11.1,3025.0,,,,,,,,,,Western Metropolitan,5132.0
80,283,Altona North,61 Cooper Av,3,h,S,Greg,18/06/2016,11.1,3025.0,,,,,,,,,,Western Metropolitan,5132.0
81,284,Altona North,10 Freemans St,3,h,VB,Greg,18/06/2016,11.1,3025.0,,,,,,,,,,Western Metropolitan,5132.0
82,286,Altona North,150A McIntosh Rd,2,t,SP,Williams,19/11/2016,11.1,3025.0,,,,,,,,,,Western Metropolitan,5132.0
83,291,Altona North,19 Cleghorn Av,3,h,S,Buxton,22/08/2016,11.1,3025.0,,,,,,,,,,Western Metropolitan,5132.0
84,295,Altona North,1/21 Freemans Rd,3,h,SP,RT,23/04/2016,11.1,3025.0,,,,,,,,,,Western Metropolitan,5132.0
85,300,Altona North,81 Fifth Av,4,h,S,hockingstuart,26/07/2016,11.1,3025.0,,,,,,,,,,Western Metropolitan,5132.0
86,301,Altona North,23 Huxtable Av,3,h,S,Sweeney,26/07/2016,11.1,3025.0,,,,,,,,,,Western Metropolitan,5132.0
87,303,Altona North,61a First Av,3,h,S,RT,27/06/2016,11.1,3025.0,,,,,,,,,,Western Metropolitan,5132.0
88,306,Altona North,1/33 Fifth Av,3,h,S,RT,27/11/2016,11.1,3025.0,,,,,,,,,,Western Metropolitan,5132.0
89,310,Altona North,56a MacDonald Av,3,t,PI,hockingstuart,28/08/2016,11.1,3025.0,,,,,,,,,,Western Metropolitan,5132.0
90,311,Altona North,126 Sixth Av,3,h,SP,RT,30/07/2016,11.1,3025.0,,,,,,,,,,Western Metropolitan,5132.0
91,316,Armadale,28 Lambeth Av,3,h,S,Marshall,3/12/2016,6.3,3143.0,,,,,,,,,,Southern Metropolitan,4836.0
92,319,Armadale,1/7 Railway Av,2,u,SP,hockingstuart,3/12/2016,6.3,3143.0,,,,,,,,,,Southern Metropolitan,4836.0
93,320,Armadale,65 Barkly Av,3,h,S,Marshall,4/03/2017,6.3,3143.0,,,,,,,,,,Southern Metropolitan,4836.0
94,328,Armadale,526 Orrong Rd,4,h,VB,Jellis,4/06/2016,6.3,3143.0,4.0,2.0,2.0,1581.0,,1934.0,Stonnington,-37.858000000000004,145.0111,Southern Metropolitan,4836.0
95,329,Armadale,37 Barkly Av,2,h,S,Jellis,6/08/2016,6.3,3143.0,,,,,,,,,,Southern Metropolitan,4836.0
96,360,Armadale,48 Barkly Av,3,h,S,Jellis,23/04/2016,6.3,3143.0,,,,,,,,,,Southern Metropolitan,4836.0
97,368,Armadale,7 Lambeth Av,4,h,S,Marshall,27/06/2016,6.3,3143.0,,,,,,,,,,Southern Metropolitan,4836.0
98,369,Armadale,10/507 Dandenong Rd,2,u,VB,Jellis,27/11/2016,6.3,3143.0,,,,,,,,,,Southern Metropolitan,4836.0
99,376,Armadale,8/507 Dandenong Rd,2,u,S,Jellis,28/08/2016,6.3,3143.0,,,,,,,,,,Southern Metropolitan,4836.0
100,377,Armadale,37 Lambeth Av,3,h,S,Marshall,28/08/2016,6.3,3143.0,,,,,,,,,,Southern Metropolitan,4836.0
101,386,Ascot Vale,42 Archer Av,3,h,S,Nelson,4/02/2016,5.9,3032.0,,,,,,,,,,Western Metropolitan,6567.0
102,395,Ascot Vale,25 Station Av,2,h,S,Brad,4/06/2016,5.9,3032.0,,,,,,,,,,Western Metropolitan,6567.0
103,406,Ascot Vale,7a Station Av,2,h,PI,Jellis,8/10/2016,5.9,3032.0,,,,,,,,,,Western Metropolitan,6567.0
104,408,Ascot Vale,5/39 Sandown Rd,2,t,PI,Alexkarbon,10/09/2016,5.9,3032.0,,,,,,,,,,Western Metropolitan,6567.0
105,412,Ascot Vale,17 Aspect Av,4,h,PI,Nelson,11/02/2017,5.9,3032.0,,,,,,,,,,Western Metropolitan,6567.0
106,417,Ascot Vale,6 Leonard Cr,3,h,SP,Rendina,12/11/2016,5.9,3032.0,,,,,,,,,,Western Metropolitan,6567.0
107,422,Ascot Vale,32 Myross Av,3,h,S,Nelson,13/08/2016,5.9,3032.0,,,,,,,,,,Western Metropolitan,6567.0
108,425,Ascot Vale,1 Nairn Av,2,h,PI,Jellis,14/05/2016,5.9,3032.0,,,,,,,,,,Western Metropolitan,6567.0
109,428,Ascot Vale,55 Hunt Cr,4,h,S,Brad,15/10/2016,5.9,3032.0,,,,,,,,,,Western Metropolitan,6567.0
110,435,Ascot Vale,4 Morphett Av,4,h,SP,Brad,16/07/2016,5.9,3032.0,,,,,,,,,,Western Metropolitan,6567.0
111,452,Ascot Vale,3 Aspect Av,4,h,S,Nelson,22/08/2016,5.9,3032.0,,,,,,,,,,Western Metropolitan,6567.0
112,460,Ascot Vale,6/37 Myrnong Cr,1,u,S,Woodards,25/02/2017,5.9,3032.0,,,,,,,,,,Western Metropolitan,6567.0
113,467,Ascot Vale,19 Dunlop Av,3,h,PI,Nelson,27/06/2016,5.9,3032.0,,,,,,,,,,Western Metropolitan,6567.0
114,470,Ascot Vale,20 Charles St,3,h,S,Nelson,27/11/2016,5.9,3032.0,,,,,,,,-37.7783,144.91,Western Metropolitan,6567.0
115,481,Ascot Vale,1 Myross Av,4,h,S,Brad,28/08/2016,5.9,3032.0,,,,,,,,,,Western Metropolitan,6567.0
116,482,Ascot Vale,4/33 Sandown Rd,3,t,SP,Brad,28/08/2016,5.9,3032.0,,,,,,,,,,Western Metropolitan,6567.0
117,487,Ashburton,1 Wilgra Av,2,h,S,Marshall,3/09/2016,11.0,3147.0,,,,,,,,,,Southern Metropolitan,3052.0
118,493,Ashburton,50 Warner Av,4,h,S,Jellis,4/03/2017,11.0,3147.0,,,,,,,,,,Southern Metropolitan,3052.0
119,494,Ashburton,2 Benghazi Av,3,h,S,Jellis,4/06/2016,11.0,3147.0,,,,,,,,,,Southern Metropolitan,3052.0
120,496,Ashburton,36 Morotai Av,2,h,S,Buxton,4/06/2016,11.0,3147.0,,,,,,,,,,Southern Metropolitan,3052.0
121,497,Ashburton,60 Munro Av,5,h,S,Fletchers,7/05/2016,11.0,3147.0,,,,,,,,,,Southern Metropolitan,3052.0
122,498,Ashburton,1/6 Crete Av,3,h,S,Tim,8/10/2016,11.0,3147.0,,,,,,,,,,Southern Metropolitan,3052.0
123,499,Ashburton,69a Munro Av,4,h,S,Marshall,8/10/2016,11.0,3147.0,,,,,,,,,,Southern Metropolitan,3052.0
124,504,Ashburton,3a Mernda Av,4,h,S,Fletchers,10/09/2016,11.0,3147.0,,,,,,,,,,Southern Metropolitan,3052.0
125,508,Ashburton,1/24 Crete Av,3,t,S,Jellis,12/06/2016,11.0,3147.0,,,,,,,,,,Southern Metropolitan,3052.0
126,509,Ashburton,18 Alamein Av,3,h,S,Jellis,12/11/2016,11.0,3147.0,,,,,,,,,,Southern Metropolitan,3052.0
127,510,Ashburton,3 Lae Ct,3,h,S,Jellis,12/11/2016,11.0,3147.0,,,,,,,,,,Southern Metropolitan,3052.0
128,512,Ashburton,36 Alamein Av,2,h,S,Jellis,14/05/2016,11.0,3147.0,,,,,,,,,,Southern Metropolitan,3052.0
129,516,Ashburton,34 Munro Av,3,h,S,Noel,16/07/2016,11.0,3147.0,,,,,,,,,,Southern Metropolitan,3052.0
130,517,Ashburton,2a Lancaster St,3,h,VB,Fletchers,17/09/2016,11.0,3147.0,,,,,,,,,,Southern Metropolitan,3052.0
131,518,Ashburton,1/1 Ramu Gr,3,t,VB,Jellis,17/09/2016,11.0,3147.0,,,,,,,,,,Southern Metropolitan,3052.0
132,520,Ashburton,50a Baker Pde,4,h,SP,hockingstuart,18/06/2016,11.0,3147.0,,,,,,,,,,Southern Metropolitan,3052.0
133,523,Ashburton,34 Morotai Av,3,h,S,Buxton,19/11/2016,11.0,3147.0,,,,,,,,,,Southern Metropolitan,3052.0
134,525,Ashburton,26 Tarakan Av,3,h,S,Tim,22/05/2016,11.0,3147.0,,,,,,,,,,Southern Metropolitan,3052.0
135,527,Ashburton,56 Gloucester Rd,4,h,VB,Jellis,22/08/2016,11.0,3147.0,,,,,,,,,,Southern Metropolitan,3052.0
136,529,Ashburton,3/4 Annetta Av,3,h,S,Jellis,23/04/2016,11.0,3147.0,,,,,,,,,,Southern Metropolitan,3052.0
137,530,Ashburton,20 Alamein Av,3,h,S,Tim,25/02/2017,11.0,3147.0,,,,,,,,,,Southern Metropolitan,3052.0
138,531,Ashburton,55 Alamein Av,4,h,PI,Noel,25/02/2017,11.0,3147.0,,,,,,,,,,Southern Metropolitan,3052.0
139,533,Ashburton,16 Dunscombe Av,3,h,S,Jellis,25/02/2017,11.0,3147.0,,,,,,,,,,Southern Metropolitan,3052.0
140,547,Ashburton,15 Lancaster St,4,h,S,Fletchers,30/07/2016,11.0,3147.0,,,,,,,,,,Southern Metropolitan,3052.0
141,559,Ashwood,35 Douglas St,3,h,S,Fletchers,10/09/2016,12.2,3147.0,3.0,1.0,1.0,792.0,792.0,1950.0,Monash,-37.864000000000004,145.0972,Southern Metropolitan,2894.0
142,561,Ashwood,2/25 May Park Av,2,u,S,Buxton,10/12/2016,12.2,3147.0,,,,,,,,,,Southern Metropolitan,2894.0
143,562,Ashwood,50 Cassinia Av,3,h,S,Fletchers,12/06/2016,12.2,3147.0,,,,,,,,,,Southern Metropolitan,2894.0
144,563,Ashwood,12 Delta Av,3,h,PI,Marshall,12/11/2016,12.2,3147.0,,,,,,,,,,Southern Metropolitan,2894.0
145,568,Ashwood,2/21 Electra Av,2,t,S,Buxton,16/04/2016,12.2,3147.0,,,,,,,,,,Southern Metropolitan,2894.0
146,570,Ashwood,44 Power Av,3,h,PI,Woodards,17/09/2016,12.2,3147.0,,,,,,,,,,Southern Metropolitan,2894.0
147,572,Ashwood,13 Edmonds Av,2,h,S,Jellis,18/03/2017,12.2,3147.0,,,,,,,,,,Southern Metropolitan,2894.0
148,573,Ashwood,7 Jingella Av,3,h,VB,Jellis,18/03/2017,12.2,3147.0,,,,,,,,,,Southern Metropolitan,2894.0
149,575,Ashwood,2/11 Salisbury Rd,4,t,PI,AIME,18/03/2017,12.2,3147.0,,,,,,,,,,Southern Metropolitan,2894.0
150,577,Ashwood,15b Rocklands Rd,4,t,S,Buxton,18/06/2016,12.2,3147.0,,,,,,,,,,Southern Metropolitan,2894.0
151,581,Ashwood,31a Shaw St,3,t,PI,Fletchers,23/04/2016,12.2,3147.0,,,,,,,,,,Southern Metropolitan,2894.0
152,582,Ashwood,1/27 Electra Av,2,u,S,Buxton,24/09/2016,12.2,3147.0,,,,,,,,,,Southern Metropolitan,2894.0
153,585,Ashwood,14 Ashwood Dr,3,h,S,Jellis,25/02/2017,12.2,3147.0,3.0,1.0,1.0,760.0,120.0,1960.0,Monash,-37.858000000000004,145.1038,Southern Metropolitan,2894.0
154,587,Ashwood,44 Power Av,3,h,VB,Tim,25/02/2017,12.2,3147.0,,,,,,,,,,Southern Metropolitan,2894.0
155,588,Ashwood,6a Sylvan Cr,4,t,S,Buxton,25/02/2017,12.2,3147.0,,,,,,,,,,Southern Metropolitan,2894.0
156,589,Ashwood,2/2 Heather Av,3,t,S,Tim,27/06/2016,12.2,3147.0,,,,,,,,,,Southern Metropolitan,2894.0
157,593,Avondale Heights,13 MacEy Av,4,h,S,Jellis,3/09/2016,10.5,3034.0,,,,,,,,,,Western Metropolitan,4502.0
158,603,Avondale Heights,16 Arcade Wy,3,h,S,Nelson,6/08/2016,10.5,3034.0,,,,,,,,,,Western Metropolitan,4502.0
159,606,Avondale Heights,9 Arcade Wy,3,h,SP,Moonee,8/10/2016,10.5,3034.0,,,,,,,,,,Western Metropolitan,4502.0
160,610,Avondale Heights,43 Riverside Av,3,h,S,Brad,8/10/2016,10.5,3034.0,,,,,,,,,,Western Metropolitan,4502.0
161,611,Avondale Heights,35 Templewood Cr,4,h,S,Nelson,8/10/2016,10.5,3034.0,,,,,,,,,,Western Metropolitan,4502.0
162,613,Avondale Heights,40 Templewood Cr,4,h,S,Nelson,10/12/2016,10.5,3034.0,,,,,,,,,,Western Metropolitan,4502.0
163,615,Avondale Heights,15 Dumas Av,3,h,SP,Biggin,11/02/2017,10.5,3034.0,,,,,,,,,,Western Metropolitan,4502.0
164,617,Avondale Heights,129 Templewood Cr,4,h,S,Nelson,14/05/2016,10.5,3034.0,,,,,,,,,,Western Metropolitan,4502.0
165,619,Avondale Heights,15 River Dr,3,h,SP,Moonee,15/10/2016,10.5,3034.0,3.0,1.0,4.0,606.0,,,Moonee Valley,-37.751999999999995,144.85399999999996,Western Metropolitan,4502.0
166,627,Avondale Heights,25 MacEy Av,3,h,S,Brad,18/06/2016,10.5,3034.0,,,,,,,,,,Western Metropolitan,4502.0
167,631,Avondale Heights,18 Langham St,3,h,SP,Moonee,22/05/2016,10.5,3034.0,,,,,,,,,,Western Metropolitan,4502.0
168,633,Avondale Heights,23 River Dr,3,t,VB,Barry,22/08/2016,10.5,3034.0,,,,,,,,,,Western Metropolitan,4502.0
169,634,Avondale Heights,17 Lacy St,3,h,S,HAR,23/04/2016,10.5,3034.0,,,,,,,,,,Western Metropolitan,4502.0
170,636,Avondale Heights,1 Templewood Cr,4,h,PI,Nelson,23/04/2016,10.5,3034.0,,,,,,,,,,Western Metropolitan,4502.0
171,638,Avondale Heights,7 Landau Pl,4,h,S,Moonee,24/09/2016,10.5,3034.0,,,,,,,,,,Western Metropolitan,4502.0
172,647,Avondale Heights,17 Cresswold Av,3,h,S,Moonee,27/06/2016,10.5,3034.0,,,,,,,,,,Western Metropolitan,4502.0
173,648,Avondale Heights,1/1 Amis Cr,3,u,SP,Moonee,27/11/2016,10.5,3034.0,,,,,,,,,,Western Metropolitan,4502.0
174,649,Avondale Heights,7 Arvern Av,4,h,S,Moonee,27/11/2016,10.5,3034.0,,,,,,,,,,Western Metropolitan,4502.0
175,650,Avondale Heights,17 Cannes Av,4,h,VB,Nelson,27/11/2016,10.5,3034.0,,,,,,,,,,Western Metropolitan,4502.0
176,659,Avondale Heights,14 Laura Gr,3,h,S,Moonee,28/08/2016,10.5,3034.0,,,,,,,,,,Western Metropolitan,4502.0
177,666,Balaclava,7/38 Brighton Rd,1,u,S,Beller,14/05/2016,6.6,3183.0,,,,,,,,,,Southern Metropolitan,2952.0
178,684,Balwyn,19 Belgrove Av,4,h,S,Marshall,3/12/2016,9.7,3103.0,,,,,,,,,,Southern Metropolitan,5682.0
179,685,Balwyn,26 Belgrove Av,4,h,PI,Fletchers,3/12/2016,9.7,3103.0,,,,,,,,,,Southern Metropolitan,5682.0
180,694,Balwyn,120/188 Whitehorse Rd,1,u,VB,MICM,4/02/2016,9.7,3103.0,,,,,,,,,,Southern Metropolitan,5682.0
181,695,Balwyn,12/37 Banool Rd,3,t,PI,Ascend,4/03/2017,9.7,3103.0,,,,,,,,,,Southern Metropolitan,5682.0
182,697,Balwyn,137 Yarrbat Av,4,h,S,Marshall,4/03/2017,9.7,3103.0,,,,,,,,,,Southern Metropolitan,5682.0
183,699,Balwyn,17 Gordon St,3,h,S,Marshall,4/06/2016,9.7,3103.0,3.0,2.0,1.0,853.0,,,Boroondara,-37.806999999999995,145.0635,Southern Metropolitan,5682.0
184,705,Balwyn,24 Bennett St,4,h,PI,RT,7/05/2016,9.7,3103.0,,,,,,,,,,Southern Metropolitan,5682.0
185,710,Balwyn,89 Yarrbat Av,5,h,VB,Jellis,7/05/2016,9.7,3103.0,,,,,,,,,,Southern Metropolitan,5682.0
186,711,Balwyn,2/42 Talbot Av,2,u,S,hockingstuart,7/11/2016,9.7,3103.0,,,,,,,,,,Southern Metropolitan,5682.0
187,713,Balwyn,4/339 Union Rd,3,h,VB,Marshall,8/10/2016,9.7,3103.0,,,,,,,,,,Southern Metropolitan,5682.0
188,715,Balwyn,68 Elliott Av,5,h,S,Marshall,10/09/2016,9.7,3103.0,,,,,,,,,,Southern Metropolitan,5682.0
189,716,Balwyn,2/23 Northcote Av,3,t,PI,Noel,10/09/2016,9.7,3103.0,,,,,,,,,,Southern Metropolitan,5682.0
190,717,Balwyn,6 Tonkin Av,2,h,VB,Marshall,10/09/2016,9.7,3103.0,,,,,,,,,,Southern Metropolitan,5682.0
191,720,Balwyn,11 Belgrove Av,5,h,VB,Jellis,10/12/2016,9.7,3103.0,,,,,,,,,,Southern Metropolitan,5682.0
